cell_key,microns_root_id
N:154188,864691135526108507
N:760530,864691135167000728
N:153281,864691136273004222
N:759823,864691135265948456
N:756966,864691136103236698
N:151807,864691136312118589
N:436928,864691135904248673
N:437170,864691135151723743
N:149501,864691136113025105
N:436329,864691135429444926
N:436584,864691135156297060
N:401681,864691136052141043
N:157464,864691136194071766
N:432482,864691135858491438
N:703420,864691135760158653
N:700129,864691135774278480
N:398813,864691136106547161
N:431933,864691136002860315
N:155020,864691135410329353
N:432338,864691135470768978
N:153250,864691135852715857
N:153333,864691135696937370
N:109043,864691135560713634
N:154871,864691135858491438
N:758354,864691135142747788
N:755755,864691135774528592
N:545982,864691135348187321
N:154556,864691135405691118
N:432911,864691135740373908
N:112974,864691135939904934
N:754740,864691135856238126
N:431443,864691135445811006
N:570294,864691135614344651
N:717235,864691135858491438
N:139304,864691136340490206
N:570896,864691135615796329
N:441272,864691134905718166
N:573043,864691135380009917
N:441388,864691135858491438
N:764002,864691135409603474
N:412154,864691135487823541
N:439401,864691135269728677
N:766264,864691135075627571
N:764222,864691134956062210
N:135733,864691135785231300
N:569824,864691136567211170
N:440495,864691135928212065
N:414321,864691135462953790
N:438099,864691136389008759
N:438533,864691135058479791
N:712038,864691136051229151
N:440285,864691135930522721
N:440203,864691135927929185
N:760771,864691135996309155
N:438136,864691135013218710
N:440658,864691135331083621
N:573732,864691136328934890
N:438532,864691135465867077
N:542384,864691135532822103
N:440630,864691134828555449
N:439153,864691135487438517
N:437196,864691135426307765
N:438869,864691135866022620
N:439672,864691135452424254
N:439246,864691135041579588
N:174451,864691136511296788
N:422504,864691135455264362
N:174585,864691136296502669
N:563135,864691135855205864
N:176594,864691136362454750
N:563034,864691135578071813
N:140021,864691134988451706
N:140029,864691136102748035
N:590604,864691135953764616
N:593346,864691135230470543
N:590163,864691135270807131
N:175147,864691136311828029
N:591849,864691135910164905
N:178498,864691135320048355
N:390551,864691136314271549
N:178252,864691135776119981
N:588838,864691135858491438
N:560634,864691136120010776
N:174488,864691135858491438
N:589134,864691136752213102
N:174370,864691136487706642
N:393543,864691135376106569
N:586907,864691136116402340
N:173616,864691135699306786
N:587191,864691135884430704
N:423493,864691135489181498
N:172761,864691135858491438
N:590671,864691136391445887
N:562703,864691135718446129
N:594451,864691135335160297
N:177611,864691136097735043
N:417597,864691136152019727
N:420968,864691136187144597
N:420884,864691135366961657
N:420804,864691135564542999
N:420681,864691136145537844
N:420723,864691136619283085
N:596210,864691135988936344
N:595789,864691136370073719
N:595843,864691135856153134
N:593857,864691136382571639
N:580387,864691135655090147
N:163803,864691137053646710
N:163732,864691136027650270
N:164148,864691135994543018
N:581107,864691136541667234
N:164261,864691135730172601
N:550728,864691135346068895
N:750586,864691135703378289
N:746126,864691135839671811
N:428754,864691136370997640
N:582636,864691136099864949
N:165514,864691135488645178
N:582213,864691136137107837
N:553408,864691135947158308
N:554204,864691135593532971
N:750409,864691135560008534
N:165502,864691136293425037
N:399518,864691135106158413
N:158267,864691135911847400
N:431287,864691135866022620
N:398467,864691136740886108
N:427857,864691136210782298
N:399339,864691136100749173
N:124057,864691135474613312
N:162114,864691135856639534
N:162522,864691135336616937
N:586890,864691135858491438
N:584171,864691136040324350
N:556807,864691136194163688
N:557387,864691137054644854
N:424040,864691136274181645
N:423012,864691135590586079
N:559431,864691135858491438
