cell_key,cilium_length_um,centriole_dist_um,nucleus_volume_um3
N:324450,,,366.68
N:257658,,,222.95
N:676032,,,275.44
N:357650,,,247.76
N:357707,,,243.12
N:298033,,,272.38
N:676416,,,75.93
N:625084,,,106.27
N:357141,,,45.36
N:352943,3.31,3.67,108.29
N:352960,,,92.03
N:676627,,,73.44
N:293088,,,45.41
N:256974,,,359.25
N:680767,,,78.7
N:359206,,,284.23
N:291272,,,317.18
N:326132,,,243.97
N:257432,,5.36,51.15
N:680886,,,153.55
N:325954,,,43.82
N:326659,,,287.87
N:638834,,,340.98
N:359774,,,38.68
N:292429,,5.0,58.06
N:292804,,5.16,56.97
N:258501,,,96.03
N:358562,,,257.53
N:676651,,,33.79
N:258319,,,261.81
N:676610,,,87.65
N:679162,,,61.06
N:295084,,,240.46
N:679552,,,138.21
N:295067,,,43.25
N:294055,,0.95,53.88
N:294050,,4.31,43.52
N:627026,,,273.34
N:358717,,,241.69
N:294184,,4.38,35.22
N:614599,,,162.67
N:658095,,,310.84
N:328019,,,266.82
N:658292,,,92.7
N:326912,,,65.46
N:306219,,,143.92
N:642316,,,55.1
N:306066,,,253.02
N:329602,,3.09,25.12
N:339409,,,275.52
N:304670,,,200.29
N:656371,,,38.82
N:322149,,3.93,59.65
N:656845,,,200.35
N:660120,,,313.27
N:342082,,,285.09
N:610791,,,356.06
N:323753,,4.15,65.86
N:291147,,7.19,60.91
N:641116,,,31.22
N:323913,,,49.7
N:284913,,,47.78
N:661264,,,32.79
N:341210,,,42.93
N:653473,,,252.25
N:614683,,,314.31
N:614975,,10.78,47.47
N:325542,,,258.5
N:325556,,,40.89
N:660124,,,246.53
N:299796,,,82.46
N:334974,,2.81,42.05
N:332994,,,181.87
N:337624,,,60.8
N:335221,1.25,1.95,43.64
N:336473,,,276.76
N:646488,,,215.77
N:336528,,,45.34
N:651769,,,194.73
N:612315,,,280.97
N:651126,,,317.58
N:612560,,,101.81
N:336933,,,26.56
N:336886,,,50.72
N:652574,,,100.2
N:332841,,,101.1
N:334813,1.31,1.85,138.31
N:336619,,,38.64
N:328929,,,242.7
N:331387,,,243.37
N:331390,,,262.39
N:650034,,,379.04
N:304511,,,66.28
N:650802,,,203.64
N:294779,,,287.24
N:296825,,,272.76
N:649102,,,374.13
N:655200,,,684.64
N:294526,,5.76,45.46
N:654470,,,81.07
N:649943,,,324.43
N:296231,,,54.33
N:332758,,,44.43
N:329352,,,91.7
N:338565,,,247.89
N:315328,,,40.47
N:663902,,,150.11
N:663250,,,42.69
N:644867,,,153.41
N:279735,,,143.34
N:314404,,,134.6
N:345863,,14.83,29.55
N:345480,,,198.52
N:617397,,,62.55
N:663261,,,266.65
N:345646,,,154.08
N:314371,,,523.73
N:346158,,,81.45
N:343537,,,294.06
N:348355,,,181.67
N:277891,,,111.56
N:643661,,,493.82
